"filename", "language", "C", "Makefile", "CSS", "HTML", "Markdown", "Python", "Shell Script", "PowerShell", "Batch", "C++", "XML", "JavaScript", "comment", "blank", "total"
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\.idea\RSA.iml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\.idea\editor.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 103
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\.idea\workspace.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 77
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\.mix\DemoFolder\demo.c", "C", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 10, 75
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\.mix\DemoFolder\demo.py", "Python", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 8, 5, 29
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\.mix\ProjectDocs\Invoking Bash (Bash Reference Manual).html", "HTML", 0, 0, 0, 211, 0, 0, 0, 0, 0, 0, 0, 0, 33, 15, 259
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\.mix\ProjectDocs\Invoking Bash (Bash Reference Manual)_files\manual.css", "CSS", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 12, 73
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\Header\cmd.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 4, 18
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\Header\int256.h", "C", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 52
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\Header\outlog.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 5, 29
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\Header\prgvar.h", "C", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 61
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\Header\ui.h", "C", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 19
