"filename", "language", "Makefile", "Shell Script", "Batch", "C", "C++", "XML", "Markdown", "PowerShell", "Python", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\.idea\RSA.iml", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\.idea\editor.xml", "XML", 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 103
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\.idea\workspace.xml", "XML", 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 77
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\.mix\DemoFolder\demo.c", "C", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 19, 10, 75
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\.mix\DemoFolder\demo.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 14, 8, 53
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\.mix\ProjectDocs\Invoking Bash (Bash Reference Manual).html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 211, 0, 0, 33, 15, 259
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\.mix\ProjectDocs\Invoking Bash (Bash Reference Manual)_files\manual.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 15, 12, 73
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\.mix\tempen.c", "C", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 32
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\Header\cmd.h", "C", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 47
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\Header\int256.h", "C", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 54
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\Header\outlog.h", "C++", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\Header\pv.h", "C++", 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 1, 18, 97
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\Header\ui.h", "C", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 19
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\Header\uilib.h", "C", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 119
