"filename", "language", "C", "Makefile", "Shell Script", "Markdown", "C++", "Batch", "Python", "PowerShell", "JavaScript", "CSS", "XML", "HTML", "comment", "blank", "total"
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\.idea\RSA.iml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\.idea\editor.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 103
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\.idea\workspace.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 77
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\.mix\DemoFolder\demo.c", "C", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 10, 75
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\.mix\DemoFolder\demo.py", "Python", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 46, 12, 79
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\.mix\ProjectDocs\Invoking Bash (Bash Reference Manual).html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 211, 33, 15, 259
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\.mix\ProjectDocs\Invoking Bash (Bash Reference Manual)_files\manual.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 15, 12, 73
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\.mix\tempen.c", "C", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 32
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\.trash\decrypt.c", "C", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 54
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\.trash\encrypt.c", "C", 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 159
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\.trash\genkey.c", "C", 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 171
"d:\OneDrive - The University of Technology\PBL\PBL1\RSA\.trash\genkey.h", "C++", 0, 0, 0, 0, 468, 0, 0, 0, 0, 0, 0, 0, 5, 49, 522
